original_line,game_name,bgg_id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,rating_category,game_type,rank_display,image_filename
quarto,quarto,681.0,Quarto,1991,1144,6.56546,6.90133,8587,0,73.0,,,,,,,,Found,Average (6.5-6.9),Base Game,#1144,Quarto_1991_681.jpg
https://boardgamegeek.com/boardgame/143884/machi-koro # machi koro,,143884.0,Machi Koro,2012,1318,6.48176,6.59822,35111,0,,,,479.0,,,,,Extracted from URL,Below Average (<6.5),Base Game,#1318,Machi Koro_2012_143884.png
https://boardgamegeek.com/boardgame/367517/la-famiglia-the-great-mafia-war # la famiglia,,367517.0,La Famiglia: The Great Mafia War,2023,1435,6.4391,7.99349,1557,0,,,,,,699.0,,,Extracted from URL,Below Average (<6.5),Base Game,#1435,La Famiglia_ The Great Mafia War_2023_367517.jpg
here to Slay,here to Slay,299252.0,Here to Slay,2020,1484,6.422,6.88773,8221,0,,,,,159.0,,,,Found,Below Average (<6.5),Base Game,#1484,Here to Slay_2020_299252.jpg
saboteur # ???,saboteur,9220.0,Saboteur,2004,1502,6.4147,6.54116,35239,0,,,,562.0,152.0,,,,Found,Below Average (<6.5),Base Game,#1502,Saboteur_2004_9220.jpg
https://boardgamegeek.com/boardgame/316858/cloudage # CloudAge,,316858.0,CloudAge,2020,1521,6.40724,7.19187,2753,0,,,,,,806.0,,,Extracted from URL,Below Average (<6.5),Base Game,#1521,CloudAge_2020_316858.jpg
quoridor,quoridor,624.0,Quoridor,1997,1631,6.36297,6.64932,9325,0,112.0,,,,,,,,Found,Below Average (<6.5),Base Game,#1631,Quoridor_1997_624.jpg
catacombs # ???,catacombs,57390.0,Catacombs,2010,1637,6.36027,7.04848,2981,0,,,,,,,344.0,,Found,Below Average (<6.5),Base Game,#1637,Catacombs_2010_57390.jpg
scotland yard,scotland yard,438.0,Scotland Yard,1983,1679,6.34585,6.50823,17765,0,,,,617.0,,,,,Found,Below Average (<6.5),Base Game,#1679,Scotland Yard_1983_438.jpg
löwenherz,löwenherz,66.0,Löwenherz,1997,1689,6.34353,7.05898,2721,0,,,,,,889.0,,,Found,Below Average (<6.5),Base Game,#1689,Löwenherz_1997_66.jpg
